Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Method.of.detection,Gene,Pathogen,Tick.hosts,Hosts.studied,Ecotype.AP,Sequencing,Larvae.tested,Larvae.positive,Larval.infection.prevalence,Nymphs.tested,Nymphs.positive,Nymphal.infection.prevalence,Adults.tested,Adults.positive,Adult.infection.prevalence,Hosts.with.infected.ticks,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.AH,Same.reference,Multiple.species,Notes,Birds
0211,"Paulauskas et al., 2009","Ventes Ragas Ornithological Station, situated on the eastern coast of Curonian Lagoon",Lithuania,No,NA,spring-summer of 2005-2007,Lesser whitethroat,Sylvia curruca,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,1,1,NA,NA,0,NA,NA,1,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0212,"Paulauskas et al., 2009","Jomfruland: 58°52'N, 09°36'E",Norway,No,NA,spring-summer of 2005-2007,Lesser whitethroat,Sylvia curruca,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,1,1,No,No,0,NA,NA,2,1,0.50,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0213,"Paulauskas et al., 2009","Ventes Ragas Ornithological Station, situated on the eastern coast of Curonian Lagoon",Lithuania,No,NA,spring-summer of 2005-2007,Eurasian wren,Troglodytes troglodytes,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,4,4,No,No,0,NA,NA,4,1,0.25,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0214,"Paulauskas et al., 2009","Lista: 58°07'N, 06°40'E",Norway,No,NA,spring-summer of 2005-2007,Redwing thrush,Turdus iliacus,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,2,2,NA,NA,0,NA,NA,2,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0215,"Paulauskas et al., 2009","Jomfruland: 58°52'N, 09°36'E and Lista: 58°07'N, 06°40'E",Norway,No,NA,spring-summer of 2005-2007,Common blackbird,Turdus merula,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,64,64,No,No,46,10,0.22,373,111,0.30,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0216,"Paulauskas et al., 2009","Jomfruland: 58°52'N, 09°36'E and Lista: 58°07'N, 06°40'E",Norway,No,NA,spring-summer of 2005-2007,Song thrush,Turdus philomelos,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,12,12,No,No,5,4,0.80,25,3,0.12,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0217,"Paulauskas et al., 2009","Lista: 58°07'N, 06°40'E",Norway,No,NA,spring-summer of 2005-2007,Fieldfare,Turdus pilaris,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,5,5,No,No,1,1,1.00,23,11,0.48,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0218,"Pereira et al., 2018","Beja (38° 1′ 20.892′′N, 7° 57′ 31.202′′W) ",Portugal,No,NA,December 2013 - September 2015,European hare,Lepus europaeus,Mammal,Non-scientific capturing,conventional or nested PCR,"msp4, 16S rRNA and groEL",A. phagocytophilum,2,15,NA,NA,0,NA,NA,0,NA,NA,3,0,0.00,NA,No,NA,No,NA,No,Additional information obtained from author,No birds
0219,"Pereira et al., 2018","Beja (38° 1′ 20.892′′N, 7° 57′ 31.202′′W) ",Portugal,No,NA,December 2013 - September 2015,European rabbit,Oryctolagus cuniculus,Mammal,Non-scientific capturing,conventional or nested PCR,"msp4, 16S rRNA and groEL",A. phagocytophilum,7,49,NA,NA,0,NA,NA,4,0,0.00,12,0,0.00,NA,No,NA,No,NA,No,Additional information obtained from author,No birds
0220,"Pereira et al., 2018","Castelo Branco (39° 48′ 42.744′′N, 7° 36′ 11.354′′W), Lisboa (38° 44′ 37.463′′N, 9° 13′ 48.878′′W) and Portalegre (39° 17′ 20.407′′N, 7° 28′ 4.855′′W)",Portugal,No,NA,December 2013 - September 2015,Wild boar,Sus scrofa,Mammal,Non-scientific capturing,conventional or nested PCR,"msp4, 16S rRNA and groEL",A. phagocytophilum,3,11,NA,NA,0,NA,NA,0,NA,NA,3,0,0.00,NA,No,NA,AH,"Pereira et al., (2016)",No,Additional information obtained from author,No birds
0221,"Piksa et al., 2016",Polish Carpathians and Krakowska-Wieluńska Upland,Poland,No,Cave,2010 and 2012,Bechstein's myotis,Myotis bechsteinii,Mammal,Scientific capturing,nested PCR,16S rRNA,A. phagocytophilum,NA,NA,NA,NA,1,0,0.00,0,NA,NA,0,NA,NA,NA,No,NA,No,NA,No,,No birds
0222,"Piksa et al., 2016",Polish Carpathians and Krakowska-Wieluńska Upland,Poland,No,Cave,2010 and 2012,Daubenton's myotis,Myotis daubentonii,Mammal,Scientific capturing,nested PCR,16S rRNA,A. phagocytophilum,NA,NA,NA,NA,0,NA,NA,0,NA,NA,2,0,0.00,NA,No,NA,No,NA,No,,No birds
0223,"Piksa et al., 2016",Polish Carpathians and Krakowska-Wieluńska Upland,Poland,No,Cave,2010 and 2012,Mouse-eared myotis,Myotis myotis,Mammal,Scientific capturing,nested PCR,16S rRNA,A. phagocytophilum,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,0,0.00,NA,No,NA,No,NA,No,,No birds
0224,"Piksa et al., 2016",Polish Carpathians and Krakowska-Wieluńska Upland,Poland,No,Cave,2010 and 2012,Lesser horseshoe bat,Rhinolophus hipposideros,Mammal,Scientific capturing,nested PCR,16S rRNA,A. phagocytophilum,NA,NA,NA,NA,0,NA,NA,0,NA,NA,4,0,0.00,NA,No,NA,No,NA,No,,No birds
0225,"Portillo et al., 2011",La Rioja,Spain,No,NA,2005–2006 hunting season,Red deer,Cervus elaphus,Mammal,Hunting,nested PCR,16S rRNA,A. phagocytophilum,21,21,No,Yes,NA,NA,NA,NA,NA,NA,89,12,0.13,NA,No,NA,AH,"Portillo et al., (2011)",No,Additional information obtained from author,No birds
0226,"Sandor et al., 2017a","Sebes, (45.948229N; 23.562736E)",Romania,No,Urban,"June 13, 2013",Rook,Corvus frugilegus,Bird,Scientific capturing,PCR,msp2,A. phagocytophilum,1,57,No,Yes,23,4,0.17,0,NA,NA,0,NA,NA,NA,No,NA,T+AH,"Sandor et al., (2017a)",No,Additional information obtained from author,Resident birds
0227,"Sandor et al., 2017a","Sebes, (45.948229N; 23.562736E)",Romania,No,Urban,"June 13, 2013",Western jackdaw,Corvus monedula,Bird,Scientific capturing,PCR,msp2,A. phagocytophilum,4,51,NA,NA,2,0,0.00,2,0,0.00,0,NA,NA,NA,No,NA,T+AH,"Sandor et al., (2017a)",No,Additional information obtained from author,Resident birds
0228,"Santos et al., 2009",Portugal,Portugal,No,Peridomestic areas of several reserves and natural parks,NA,European roe deer,Capreolus capreolus,Mammal,NA,PCR or nested PCR,msp2 or 16S rRNA a/o groEL,A. phagocytophilum,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.00,NA,No,NA,No,NA,No,,No birds
0229,"Schouls et al., 1999",Flevopolder,The Netherlands,No,NA,Summer 1995,European roe deer,Capreolus capreolus,Mammal,Hunting,PCR,16S rDNA,E. phagocytophila & HE,38,NA,No,Yes,NA,NA,NA,11,0,0.00,110,54,0.49,NA,No,NA,T,"Rijpkema et al., (1996) ",No,,No birds
0230,"Silaghi et al., 2012","Eastern shore of Lake Cospuden, Leipziger Neuseenland, Saxony; Lößnig-Dölitz, Leipzig, Saxony; Leipziger Auwald, Leipzig, Saxony (fig.1)",Germany,No,Renaturated areas and riparian forest area,"August 2010, October 2010, March 2011 and June 2011",Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,real-time PCR and nested PCR,16S rRNA,A. phagocytophilum,22,32,No,Yes,88,0,0.00,28,1,0.04,0,NA,NA,NA,No,NA,T+AH,"Silaghi et al., (2012)",No,Additional information obtained from author,No birds
0231,"Silaghi et al., 2012","Eastern shore of Lake Cospuden, Leipziger Neuseenland, Saxony; Lößnig-Dölitz, Leipzig, Saxony; Leipziger Auwald, Leipzig, Saxony (fig.1)",Germany,No,Renaturated areas and riparian forest area,"August 2010, October 2010, March 2011 and June 2011",Bank vole,Myodes glareolus,Mammal,Scientific capturing,real-time PCR and nested PCR,16S rRNA,A. phagocytophilum,19,36,No,Yes,72,0,0.00,7,1,0.14,0,NA,NA,NA,No,NA,T+AH,"Silaghi et al., (2012)",No,Additional information obtained from author,No birds
0232,"Silaghi et al., 2012","Eastern shore of Lake Cospuden, Leipziger Neuseenland, Saxony; Lößnig-Dölitz, Leipzig, Saxony; Leipziger Auwald, Leipzig, Saxony (fig.1)",Germany,No,Renaturated areas and riparian forest area,"August 2010, October 2010, March 2011 and June 2011",Striped field mouse,Apodemus agrarius,Mammal,Scientific capturing,real-time PCR and nested PCR,16S rRNA,A. phagocytophilum,2,3,NA,NA,13,0,0.00,5,0,0.00,0,NA,NA,NA,No,NA,T+AH,"Silaghi et al., (2012)",No,,No birds
0233,"Silaghi et al., 2012","Eastern shore of Lake Cospuden, Leipziger Neuseenland, Saxony; Lößnig-Dölitz, Leipzig, Saxony; Leipziger Auwald, Leipzig, Saxony (fig.1)",Germany,No,Renaturated areas and riparian forest area,"August 2010, October 2010, March 2011 and June 2011",European water vole,Arvicola terrestris,Mammal,Cat killed,real-time PCR and nested PCR,16S rRNA,A. phagocytophilum,2,3,NA,NA,0,NA,NA,3,0,0.00,0,NA,NA,NA,No,NA,T+AH,"Silaghi et al., (2012)",No,,No birds
0234,"Silaghi et al., 2012","Eastern shore of Lake Cospuden, Leipziger Neuseenland, Saxony; Lößnig-Dölitz, Leipzig, Saxony; Leipziger Auwald, Leipzig, Saxony (fig.1)",Germany,No,Renaturated areas and riparian forest area,"August 2010, October 2010, March 2011 and June 2011",Greater white-toothed shrew,Crocidura russula,Mammal,Cat killed,real-time PCR and nested PCR,16S rRNA,A. phagocytophilum,2,4,NA,NA,11,0,0.00,1,0,0.00,0,NA,NA,NA,No,NA,T+AH,"Silaghi et al., (2012)",No,,No birds
0235,"Silaghi et al., 2012","Eastern shore of Lake Cospuden, Leipziger Neuseenland, Saxony; Lößnig-Dölitz, Leipzig, Saxony; Leipziger Auwald, Leipzig, Saxony (fig.1)",Germany,No,Renaturated areas and riparian forest area,"August 2010, October 2010, March 2011 and June 2011",European mole,Talpa europaea,Mammal,Cat killed,real-time PCR and nested PCR,16S rRNA,A. phagocytophilum,1,1,NA,NA,4,0,0.00,0,NA,NA,0,NA,NA,NA,No,NA,T+AH,"Silaghi et al., (2012)",No,,No birds
0236,"Skotarczak et al., 2006",Wielkopolski National Park,Poland,No,Forest,May–September 2002,Blue tit,Cyanistes caeruleus,Bird,Scientific capturing,PCR,epank 1,A. phagocytophilum,1,1,NA,NA,0,NA,NA,2,0,0.00,NA,NA,NA,NA,No,NA,T+AH,"Skotarczak et al., (2006)",No,,Resident birds
0237,"Spitalska et al., 2011",Near Brno and Karvina,Czech Republic,No,NA,2003-2005,Marsh warbler,Acrocephalus palustris,Bird,Scientific capturing,PCR,msp4,A. phagocytophilum,NA,NA,NA,NA,2,0,0.00,7,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0238,"Spitalska et al., 2011",Near Brno and Karvina,Czech Republic,No,NA,2003-2005,Sedge warbler,Acrocephalus schoenobaenus,Bird,Scientific capturing,PCR,msp4,A. phagocytophilum,NA,NA,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0239,"Spitalska et al., 2011",Near Brno and Karvina,Czech Republic,No,NA,2003-2005,Eurasian reed warbler,Acrocephalus scirpaceus,Bird,Scientific capturing,PCR,msp4,A. phagocytophilum,NA,NA,NA,NA,1,0,0.00,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0240,"Spitalska et al., 2011",Near Brno and Karvina,Czech Republic,No,NA,2003-2005,Meadow pipit,Anthus pratensis,Bird,Scientific capturing,PCR,msp4,A. phagocytophilum,NA,NA,NA,NA,3,0,0.00,0,NA,NA,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0241,"Spitalska et al., 2011",Near Brno and Karvina,Czech Republic,No,NA,2003-2005,Common rosefinch,Carpodacus erythrinus,Bird,Scientific capturing,PCR,msp4,A. phagocytophilum,NA,NA,NA,NA,4,0,0.00,6,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0242,"Spitalska et al., 2011",Near Brno and Karvina,Czech Republic,No,NA,2003-2005,Hawfinch,Coccothraustes coccothraustes,Bird,Scientific capturing,PCR,msp4,A. phagocytophilum,NA,NA,NA,NA,0,NA,NA,3,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0243,"Spitalska et al., 2011",Near Brno and Karvina,Czech Republic,No,NA,2003-2005,Blue tit,Cyanistes caeruleus,Bird,Scientific capturing,PCR,msp4,A. phagocytophilum,NA,NA,NA,NA,5,0,0.00,3,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0244,"Spitalska et al., 2011",Near Brno and Karvina,Czech Republic,No,NA,2003-2005,Reed bunting,Emberiza schoeniclus,Bird,Scientific capturing,PCR,msp4,A. phagocytophilum,NA,NA,NA,NA,0,NA,NA,2,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0245,"Spitalska et al., 2011",Near Brno and Karvina,Czech Republic,No,NA,2003-2005,European robin,Erithacus rubecula,Bird,Scientific capturing,PCR,msp4,A. phagocytophilum,NA,NA,No,Yes,3,0,0.00,4,1,0.25,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0246,"Spitalska et al., 2011",Near Brno and Karvina,Czech Republic,No,NA,2003-2005,Common nightingale,Luscinia megarhynchos,Bird,Scientific capturing,PCR,msp4,A. phagocytophilum,NA,NA,NA,NA,0,NA,NA,2,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0247,"Spitalska et al., 2011",Near Brno and Karvina,Czech Republic,No,NA,2003-2005,Great tit,Parus major,Bird,Scientific capturing,PCR,msp4,A. phagocytophilum,NA,NA,No,Yes,23,0,0.00,17,1,0.06,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0248,"Spitalska et al., 2011",Near Brno and Karvina,Czech Republic,No,NA,2003-2005,Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing,PCR,msp4,A. phagocytophilum,NA,NA,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0249,"Spitalska et al., 2011",Near Brno and Karvina,Czech Republic,No,NA,2003-2005,Willow warbler,Phylloscopus trochilus,Bird,Scientific capturing,PCR,msp4,A. phagocytophilum,NA,NA,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0250,"Spitalska et al., 2011",Near Brno and Karvina,Czech Republic,No,NA,2003-2005,Marsh tit,Poecile palustris,Bird,Scientific capturing,PCR,msp4,A. phagocytophilum,NA,NA,NA,NA,0,NA,NA,2,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0251,"Spitalska et al., 2011",Near Brno and Karvina,Czech Republic,No,NA,2003-2005,Dunnock,Prunella modularis,Bird,Scientific capturing,PCR,msp4,A. phagocytophilum,NA,NA,NA,NA,1,0,0.00,8,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0252,"Spitalska et al., 2011",Near Brno and Karvina,Czech Republic,No,NA,2003-2005,Eurasian nuthatch,Sitta europaea,Bird,Scientific capturing,PCR,msp4,A. phagocytophilum,NA,NA,NA,NA,7,0,0.00,0,NA,NA,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0253,"Spitalska et al., 2011",Near Brno and Karvina,Czech Republic,No,NA,2003-2005,Eurasian blackcap,Sylvia atricapilla,Bird,Scientific capturing,PCR,msp4,A. phagocytophilum,NA,NA,NA,NA,0,NA,NA,6,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0254,"Spitalska et al., 2011",Near Brno and Karvina,Czech Republic,No,NA,2003-2005,Whitethroat,Sylvia communis,Bird,Scientific capturing,PCR,msp4,A. phagocytophilum,NA,NA,NA,NA,0,NA,NA,2,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0255,"Spitalska et al., 2011",Near Brno and Karvina,Czech Republic,No,NA,2003-2005,Common blackbird,Turdus merula,Bird,Scientific capturing,PCR,msp4,A. phagocytophilum,NA,NA,NA,NA,2,0,0.00,10,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0256,"Stefanidesova et al., 2011","Nitrianske Rudno – Pravenec (48◦51' N, 18◦39' E) lies in Strážovské vrchy Mts near the village of Nitrianske Rudno in administrative district Prievidza",Slovakia,No,NA,May - September 2009,Red deer,Cervus elaphus,Mammal,Hunting,nested PCR,groESL,A. phagocytophilum,1,4,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.00,NA,No,NA,AH,"Stefanidesova et al., (2011)",No,,No birds
0257,"Sukara et al., 2018","Titel, Surcin, Smederevo, Velika Gradiste, Smederevska Palanka, Velika Plana, Negotin, Svilajnac, Zajecar and Bela Palanka (fig 1)",Serbia,No,NA,Janaury 2010 - February 2013,Golden jackal,Canis aureus,Mammal,Hunted and road kill,real-time PCR en cPCR,msp4,A. phagocytophilum,16,216,NA,NA,0,NA,NA,0,NA,NA,64,0,0.00,NA,No,NA,T+AH,"Sukara et al., (2018)",No,,No birds
0258,"Svitalkova et al., 2015","Bratislava (48.17–48.20°N, 17.07–17.10°E)",Slovakia,No,Campus of the Slovak Academy of Sciences (SAS) and a recreational forest park (Železná studnička),"Spring (April—June) and autumn (September – October) of 2012, 2013 and 2014","Yellow-necked field mouse, bank vole and long-tailed field mouse",NA,Mammal,Scientific capturing,real-time PCR,msp2,A. phagocytophilum,NA,300,No,No,505,1,0.00,21,4,0.19,0,NA,NA,NA,No,NA,AH,"Svitalkova et al., (2015)",Yes,,No birds
0259,"Svitalkova et al., 2015","Fúgelka (48.37–48.38°N, 17.30–17.32°E)",Slovakia,No,non-fragmented deciduous forest,"Spring (April—June) and autumn (September – October) of 2012, 2013 and 2014","Yellow-necked field mouse, bank vole, common vole, harvest mouse, european pine vole and long-tailed field mouse",NA,Mammal,Scientific capturing,real-time PCR,msp2,A. phagocytophilum,NA,306,No,No,400,1,0.00,6,0,0.00,1,0,0.00,NA,No,NA,AH,"Svitalkova et al., (2015)",Yes,,No birds
0260,"Szekeres et al., 2015","Gemenc area, near the Danube river",Hungary,No,Forest covered floodplain,July 2010 - May 2013,"Yellow-necked field mouse, Striped field mouse, Eurasian harvest mouse, House mouse, Bank vole and Common vole",NA,Mammal,Scientific capturing,real-time PCR en cPCR,msp4,A. phagocytophilum,NA,525,No,Yes,36,0,0.00,5,1,0.20,0,NA,NA,NA,No,NA,T+AH,"Szekeres et al., (2015)",Yes,Positive nymph came from a positive A. flavicollis,No birds
0261,"Szekeres et al., 2018","Szentendre, Pest County; Budapest (several districts); Hajdúböszörmény, Hajdú-Bihar County; Kalocsa, Bács-Kiskun County; Szigetszentmiklós, Pest County; Kunpeszér, Bács-Kiskun County; Balatonkenese, Veszprém County",Hungary,No,Urban,April and August of 2015,Northern white-breasted hedgehog,Erinaceus roumanicus,Mammal,Road kill,qPCR and cPCR,msp2,A. phagocytophilum,9,23,1,Yes,NA,NA,NA,NA,NA,NA,47,31,0.66,NA,No,NA,T+AH,"Szekeres et al., (2018) ",No,"Ecotype found in two female ticks, and in tissue from hedgehogs. More detailed specifics per positive animal can be found in supplementary file.",No birds
0262,"Veronesi et al., 2011","Park of Bosco Melosa, Central-Northern Italy",Italy,No,NA,Mid-September to Mid-November 2007,Fallow deer,Dama dama,Mammal,Hunting,nested PCR,16S rRNA,A. phagocytophilum,43,72,No,Yes,NA,NA,NA,NA,NA,NA,82,6,0.07,2,No,NA,AH,"Veronesi et al., (2011)",No,Positive ticks came from 2 positive hosts.,No birds
0263,"Lorusso et al., 2011",Southern Italy,Italy,No,NA,January 2000 to December 2009,Red fox,Vulpes vulpes,Mammal,Found dead,multiplex real-time PCR,msp2,A. phagocytophilum,1,NA,NA,NA,0,NA,NA,0,NA,NA,1,0,0.00,NA,No,NA,No,NA,No,Additional information obtained from author,No birds
